ID	RollNo	Name	Course	Dept	Age	Attendence	Total	Percentage	 Grade
---	------------	---------------------	--------------------------	----------------	------	-------	---------	------	--------------
1	R1001	Karan Nair	Electronics	Engineering	18	89	308	61.6	B
2	R1002	Neha Verma	Information Technology	IT	23	79	256	51.2	C
3	R1003	Arjun Gupta	Mechanical Engineering	IT	18	62	324	64.8	B
4	R1004	Karan Desai	Mechanical Engineering	AI	20	61	286	57.2	C
5	R1005	Priya Verma	Information Technology	Core	25	89	355	71	B
6	R1006	Rahul Desai	Mechanical Engineering	IT	22	92	294	58.8	C
7	R1007	Neha Desai	Artificial Intelligence	IT	25	62	309	61.8	B
8	R1008	Rohan Kulkarni	Computer Science	Data	23	87	317	63.4	B
9	R1009	Priya Gupta	Mechanical Engineering	Data	20	67	311	62.2	B
10	R1010	Rohan Joshi	Data Science	Engineering	18	86	353	70.6	B
11	R1011	Arjun Sharma	Data Science	Engineering	24	88	416	83.2	B
12	R1012	Rohan Nair	Computer Science	AI	22	79	343	68.6	B
13	R1013	Arjun Patel	Data Science	Engineering	20	88	343	68.6	B
14	R1014	Rohan Singh	Information Technology	Engineering	25	61	335	67	B
15	R1015	Karan Mehta	Electronics	Core	24	99	372	74.4	B
16	R1016	Priya Sharma	Artificial Intelligence	AI	18	85	372	74.4	B
17	R1017	Rahul Singh	Mechanical Engineering	AI	25	88	384	76.8	B
18	R1018	Rohan Mehta	Electronics	Engineering	24	70	413	82.6	B
19	R1019	Karan Joshi	Artificial Intelligence	Core	23	89	386	77.2	B
20	R1020	Neha Joshi	Artificial Intelligence	IT	22	65	338	67.6	B
21	R1021	Priya Kulkarni	Data Science	Core	20	70	329	65.8	B
22	R1022	Arjun Desai	Mechanical Engineering	Engineering	22	79	318	63.6	B
23	R1023	Neha Desai	Data Science	IT	22	68	392	78.4	B
24	R1024	Anjali Gupta	Computer Science	AI	18	89	301	60.2	B
25	R1025	Amit Mehta	Electronics	IT	20	61	299	59.8	C
26	R1026	Priya Desai	Electronics	Data	22	90	372	74.4	B
27	R1027	Rahul Patel	Artificial Intelligence	Core	22	83	234	46.8	C
28	R1028	Amit Gupta	Information Technology	Engineering	24	94	325	65	B
29	R1029	Amit Joshi	Data Science	AI	23	89	369	73.8	B
30	R1030	Pooja Patel	Mechanical Engineering	AI	21	94	279	55.8	C
31	R1031	Anjali Nair	Information Technology	IT	21	88	386	77.2	B
32	R1032	Pooja Sharma	Mechanical Engineering	Data	25	95	288	57.6	C
33	R1033	Arjun Nair	Information Technology	Engineering	21	65	337	67.4	B
34	R1034	Rohan Sharma	Computer Science	Core	19	65	275	55	C
35	R1035	Karan Joshi	Information Technology	Engineering	24	97	397	79.4	B
36	R1036	Rahul Kulkarni	Data Science	Core	20	100	365	73	B
37	R1037	Priya Patel	Information Technology	Engineering	18	69	368	73.6	B
38	R1038	Pooja Joshi	Artificial Intelligence	IT	22	100	351	70.2	B
39	R1039	Anjali Patel	Data Science	Engineering	18	95	302	60.4	B
40	R1040	Priya Desai	Data Science	IT	20	70	395	79	B
41	R1041	Amit Gupta	Electronics	Core	21	61	322	64.4	B
42	R1042	Rohan Gupta	Mechanical Engineering	Core	20	96	239	47.8	C
43	R1043	Priya Nair	Mechanical Engineering	IT	22	76	285	57	C
44	R1044	Amit Kulkarni	Computer Science	Core	25	64	382	76.4	B
45	R1045	Rahul Verma	Electronics	Core	25	95	331	66.2	B
46	R1046	Neha Mehta	Data Science	IT	23	100	313	62.6	B
47	R1047	Amit Joshi	Mechanical Engineering	Data	24	96	363	72.6	B
48	R1048	Pooja Nair	Electronics	Data	25	67	353	70.6	B
49	R1049	Anjali Joshi	Electronics	IT	21	77	446	89.2	A
50	R1050	Priya Mehta	Information Technology	Core	21	99	336	67.2	B
51	R1051	Rahul Kulkarni	Artificial Intelligence	AI	25	91	336	67.2	B
52	R1052	Amit Nair	Information Technology	AI	19	61	315	63	B
53	R1053	Arjun Verma	Mechanical Engineering	Data	21	64	340	68	B
54	R1054	Amit Nair	Electronics	IT	18	88	346	69.2	B
55	R1055	Karan Gupta	Data Science	Core	22	84	359	71.8	B
56	R1056	Priya Nair	Artificial Intelligence	Data	20	82	311	62.2	B
57	R1057	Priya Patel	Information Technology	IT	18	100	287	57.4	C
58	R1058	Rahul Singh	Data Science	IT	23	97	329	65.8	B
59	R1059	Neha Verma	Mechanical Engineering	Data	25	92	277	55.4	C
60	R1060	Sneha Kulkarni	Data Science	Data	19	77	356	71.2	B
61	R1061	Rahul Singh	Data Science	IT	21	79	350	70	B
62	R1062	Priya Nair	Information Technology	Core	19	74	344	68.8	B
63	R1063	Rohan Gupta	Computer Science	AI	18	86	333	66.6	B
64	R1064	Neha Sharma	Data Science	AI	24	88	392	78.4	B
65	R1065	Rahul Mehta	Data Science	Core	22	68	332	66.4	B
66	R1066	Priya Mehta	Data Science	Core	24	96	363	72.6	B
67	R1067	Sneha Verma	Electronics	Data	25	98	301	60.2	B
68	R1068	Priya Nair	Computer Science	Engineering	24	73	360	72	B
69	R1069	Amit Nair	Mechanical Engineering	Core	24	73	263	52.6	C
70	R1070	Pooja Nair	Mechanical Engineering	Engineering	23	96	330	66	B
71	R1071	Neha Nair	Artificial Intelligence	Data	23	77	347	69.4	B
72	R1072	Rohan Joshi	Information Technology	Engineering	24	79	312	62.4	B
73	R1073	Rahul Desai	Mechanical Engineering	Data	24	85	339	67.8	B
74	R1074	Arjun Verma	Electronics	Core	21	65	352	70.4	B
75	R1075	Pooja Singh	Electronics	AI	22	65	414	82.8	B
76	R1076	Rohan Nair	Information Technology	Data	19	74	351	70.2	B
77	R1077	Neha Patel	Mechanical Engineering	Core	25	70	389	77.8	B
78	R1078	Priya Sharma	Computer Science	Engineering	20	89	375	75	B
79	R1079	Karan Mehta	Electronics	AI	24	62	377	75.4	B
80	R1080	Rohan Kulkarni	Data Science	Engineering	21	78	358	71.6	B
81	R1081	Arjun Kulkarni	Mechanical Engineering	Core	19	69	396	79.2	B
82	R1082	Neha Nair	Data Science	Engineering	18	68	299	59.8	C
83	R1083	Arjun Verma	Mechanical Engineering	Data	18	99	377	75.4	B
84	R1084	Arjun Mehta	Computer Science	IT	22	68	371	74.2	B
85	R1085	Anjali Sharma	Information Technology	Data	25	82	450	90	A
86	R1086	Anjali Joshi	Mechanical Engineering	Engineering	22	97	271	54.2	C
87	R1087	Sneha Gupta	Electronics	Core	25	81	363	72.6	B
88	R1088	Karan Kulkarni	Data Science	Core	23	63	334	66.8	B
89	R1089	Pooja Sharma	Artificial Intelligence	IT	18	70	309	61.8	B
90	R1090	Sneha Verma	Information Technology	IT	18	69	339	67.8	B
91	R1091	Amit Mehta	Information Technology	Data	25	91	297	59.4	C
92	R1092	Amit Nair	Computer Science	Engineering	21	62	323	64.6	B
93	R1093	Priya Joshi	Information Technology	Core	23	87	221	44.2	C
94	R1094	Rahul Mehta	Electronics	Engineering	25	69	269	53.8	C
95	R1095	Neha Nair	Mechanical Engineering	IT	21	80	391	78.2	B
96	R1096	Priya Desai	Information Technology	Core	19	81	260	52	C
97	R1097	Neha Gupta	Electronics	AI	22	80	314	62.8	B
98	R1098	Rahul Kulkarni	Data Science	IT	22	82	288	57.6	C
99	R1099	Rohan Patel	Mechanical Engineering	AI	20	79	368	73.6	B
100	R1100	Amit Patel	Data Science	Data	21	66	365	73	B
101	R1101	Neha Patel	Computer Science	AI	22	88	352	70.4	B
102	R1102	Neha Joshi	Information Technology	Engineering	21	96	386	77.2	B
103	R1103	Pooja Kulkarni	Computer Science	IT	25	99	385	77	B
104	R1104	Priya Kulkarni	Computer Science	Engineering	20	92	365	73	B
105	R1105	Anjali Joshi	Information Technology	Core	25	61	358	71.6	B
106	R1106	Sneha Joshi	Information Technology	IT	18	62	381	76.2	B
107	R1107	Amit Verma	Computer Science	Engineering	25	75	327	65.4	B
108	R1108	Anjali Singh	Electronics	Engineering	21	71	415	83	B
109	R1109	Sneha Gupta	Mechanical Engineering	Data	24	96	345	69	B
110	R1110	Priya Singh	Data Science	Core	18	64	364	72.8	B
111	R1111	Karan Sharma	Data Science	AI	25	73	295	59	C
112	R1112	Neha Verma	Information Technology	Data	20	73	308	61.6	B
113	R1113	Neha Joshi	Data Science	Engineering	18	61	373	74.6	B
114	R1114	Arjun Nair	Electronics	Engineering	19	82	320	64	B
115	R1115	Neha Mehta	Computer Science	Data	25	62	317	63.4	B
116	R1116	Pooja Kulkarni	Computer Science	AI	21	78	383	76.6	B
117	R1117	Sneha Sharma	Artificial Intelligence	Engineering	22	64	279	55.8	C
118	R1118	Neha Gupta	Data Science	Engineering	22	89	262	52.4	C
119	R1119	Sneha Joshi	Information Technology	Engineering	21	62	318	63.6	B
120	R1120	Priya Kulkarni	Electronics	AI	19	99	361	72.2	B
121	R1121	Anjali Mehta	Data Science	Core	19	88	346	69.2	B
122	R1122	Arjun Patel	Electronics	Engineering	24	99	372	74.4	B
123	R1123	Amit Patel	Mechanical Engineering	Core	20	82	411	82.2	B
124	R1124	Anjali Joshi	Computer Science	IT	20	100	317	63.4	B
125	R1125	Sneha Singh	Data Science	IT	24	97	336	67.2	B
126	R1126	Amit Verma	Mechanical Engineering	AI	23	82	381	76.2	B
127	R1127	Priya Patel	Data Science	Engineering	18	64	363	72.6	B
128	R1128	Pooja Mehta	Computer Science	AI	20	93	291	58.2	C
129	R1129	Priya Kulkarni	Artificial Intelligence	AI	21	86	248	49.6	C
130	R1130	Priya Desai	Artificial Intelligence	IT	20	69	313	62.6	B
131	R1131	Karan Mehta	Data Science	IT	19	85	282	56.4	C
132	R1132	Karan Desai	Computer Science	Core	20	73	401	80.2	B
133	R1133	Rohan Nair	Mechanical Engineering	Engineering	21	68	296	59.2	C
134	R1134	Priya Sharma	Computer Science	AI	22	67	314	62.8	B
135	R1135	Amit Kulkarni	Mechanical Engineering	Engineering	20	88	381	76.2	B
136	R1136	Anjali Joshi	Data Science	Engineering	25	82	363	72.6	B
137	R1137	Pooja Patel	Data Science	Data	24	83	299	59.8	C
138	R1138	Arjun Patel	Information Technology	Data	21	85	383	76.6	B
139	R1139	Sneha Mehta	Data Science	AI	22	71	343	68.6	B
140	R1140	Rohan Singh	Mechanical Engineering	Engineering	25	81	281	56.2	C
141	R1141	Karan Mehta	Electronics	Data	24	84	360	72	B
142	R1142	Rahul Verma	Electronics	Engineering	25	80	347	69.4	B
143	R1143	Anjali Mehta	Electronics	Engineering	23	95	363	72.6	B
144	R1144	Sneha Nair	Computer Science	Data	24	70	405	81	B
145	R1145	Rahul Singh	Mechanical Engineering	Core	18	89	275	55	C
146	R1146	Rohan Nair	Artificial Intelligence	AI	22	64	343	68.6	B
147	R1147	Neha Mehta	Computer Science	Core	18	87	319	63.8	B
148	R1148	Anjali Mehta	Electronics	IT	25	82	405	81	B
149	R1149	Arjun Verma	Information Technology	AI	23	98	340	68	B
150	R1150	Neha Kulkarni	Artificial Intelligence	AI	21	78	350	70	B
151	R1151	Rahul Nair	Mechanical Engineering	IT	21	65	384	76.8	B
152	R1152	Pooja Desai	Computer Science	Data	19	73	355	71	B
